NGSL_word,family_id,representative,family_size,related_NGSL_words
fly,,fly,1,
focus,,focus,1,
fold,,fold,1,
folk,,folk,1,
follow,,follow,1,
food,,food,1,
fool,,fool,1,
foot,,foot,1,
football,,football,1,
for,,for,1,
force,,force,1,
forecast,,forecast,1,
foreign,,foreign,1,
forest,,forest,1,
forever,,forever,1,
forget,,forget,1,
form,,form,1,
formal,,formal,1,
format,NGSL-F0128,format,2,formation
formation,NGSL-F0128,format,2,format
former,,former,1,
formula,,formula,1,
forth,,forth,1,
fortunate,NGSL-F0129,fortune,2,fortune
fortune,NGSL-F0129,fortune,2,fortunate
forward,,forward,1,
found,,found,1,
foundation,,foundation,1,
fragment,,fragment,1,
frame,,frame,1,
framework,,framework,1,
free,,free,1,
freedom,,freedom,1,
freeze,,freeze,1,
frequency,,frequency,1,
frequent,NGSL-F0130,frequent,2,frequently
frequently,NGSL-F0130,frequent,2,frequent
fresh,,fresh,1,
friend,NGSL-F0131,friend,2,friendly
friendly,NGSL-F0131,friend,2,friend
friendship,,friendship,1,
frighten,,frighten,1,
from,,from,1,
front,,front,1,
fruit,,fruit,1,
fuel,,fuel,1,
fulfill,,fulfill,1,
full,,full,1,
fully,,fully,1,
fun,,fun,1,
function,NGSL-F0132,function,2,functional
functional,NGSL-F0132,function,2,function
fund,,fund,1,
fundamental,,fundamental,1,
funny,,funny,1,
