family_id,representative,word_count,NGSL_words
NGSL-F0155,imagine,2,imagination; imagine
NGSL-F0156,immediate,2,immediate; immediately
NGSL-F0157,immigrant,2,immigrant; immigration
NGSL-F0158,implement,2,implement; implementation
NGSL-F0159,improve,2,improve; improvement
NGSL-F0160,increase,2,increase; increasingly
NGSL-F0161,independent,2,independence; independent
NGSL-F0162,indicate,2,indicate; indication
NGSL-F0163,industry,2,industrial; industry
NGSL-F0164,inform,2,inform; information
NGSL-F0165,institution,2,institution; institutional
NGSL-F0166,insure,2,insurance; insure
NGSL-F0167,internal,2,internal; international
NGSL-F0168,interpret,2,interpret; interpretation
NGSL-F0169,invest,2,invest; investment
NGSL-F0170,investigate,2,investigate; investigation
NGSL-F0171,invite,2,invitation; invite
NGSL-F0172,involve,2,involve; involvement
NGSL-F0173,large,2,large; largely
NGSL-F0174,like,2,like; likely
NGSL-F0175,limit,2,limit; limitation
NGSL-F0176,listen,2,listen; listener
NGSL-F0177,locate,2,locate; location
NGSL-F0178,love,2,love; lovely
NGSL-F0179,main,2,main; mainly
NGSL-F0180,major,2,major; majority
NGSL-F0181,manufacture,2,manufacture; manufacturer
NGSL-F0182,measure,2,measure; measurement
NGSL-F0183,mere,2,mere; merely
NGSL-F0184,minor,2,minor; minority
NGSL-F0185,month,2,month; monthly
NGSL-F0186,most,2,most; mostly
NGSL-F0187,motivate,2,motivate; motivation
NGSL-F0188,music,2,music; musical
NGSL-F0189,nation,2,nation; national
NGSL-F0190,near,2,near; nearly
NGSL-F0191,negotiate,2,negotiate; negotiation
NGSL-F0192,normal,2,normal; normally
NGSL-F0193,object,2,object; objective
NGSL-F0194,observe,2,observation; observe
NGSL-F0195,obvious,2,obvious; obviously
NGSL-F0196,office,2,office; officer
NGSL-F0197,opposite,2,opposite; opposition
NGSL-F0198,part,2,part; partly
NGSL-F0199,particular,2,particular; particularly
NGSL-F0200,perfect,2,perfect; perfectly
NGSL-F0201,perform,2,perform; performance
NGSL-F0202,politics,2,political; politics
NGSL-F0203,position,2,position; positive
NGSL-F0204,possess,2,possess; possession
NGSL-F0205,potential,2,potential; potentially
NGSL-F0206,power,2,power; powerful
NGSL-F0207,practice,2,practical; practice
NGSL-F0208,precise,2,precise; precisely
NGSL-F0209,prefer,2,prefer; preference
NGSL-F0210,prepare,2,preparation; prepare
NGSL-F0211,present,2,present; presentation
NGSL-F0212,previous,2,previous; previously
NGSL-F0213,prison,2,prison; prisoner
NGSL-F0214,probably,2,probability; probably
NGSL-F0215,promote,2,promote; promotion
NGSL-F0216,proper,2,proper; properly
NGSL-F0217,propose,2,proposal; propose
NGSL-F0218,protect,2,protect; protection
NGSL-F0219,public,2,public; publication
NGSL-F0220,quick,2,quick; quickly
NGSL-F0221,quiet,2,quiet; quietly
NGSL-F0222,rapid,2,rapid; rapidly
NGSL-F0223,rare,2,rare; rarely
NGSL-F0224,react,2,react; reaction
NGSL-F0225,real,2,real; reality
NGSL-F0226,recent,2,recent; recently
NGSL-F0227,recommend,2,recommend; recommendation
NGSL-F0228,refer,2,refer; reference
NGSL-F0229,reflect,2,reflect; reflection
NGSL-F0230,region,2,region; regional
NGSL-F0231,regular,2,regular; regularly
NGSL-F0232,regulate,2,regulate; regulation
NGSL-F0233,remark,2,remark; remarkable
NGSL-F0234,report,2,report; reporter
NGSL-F0235,represent,2,represent; representative
NGSL-F0236,require,2,require; requirement
NGSL-F0237,research,2,research; researcher
NGSL-F0238,resist,2,resist; resistance
NGSL-F0239,respect,2,respect; respectively
NGSL-F0240,restrict,2,restrict; restriction
NGSL-F0241,retire,2,retire; retirement
NGSL-F0242,rough,2,rough; roughly
NGSL-F0243,second,2,second; secondly
NGSL-F0244,secure,2,secure; security
NGSL-F0245,select,2,select; selection
NGSL-F0246,serious,2,serious; seriously
NGSL-F0247,severe,2,several; severe
NGSL-F0248,similar,2,similar; similarly
NGSL-F0249,situate,2,situate; situation
NGSL-F0250,slight,2,slight; slightly
NGSL-F0251,specific,2,specific; specifically
NGSL-F0252,strong,2,strong; strongly
NGSL-F0253,structure,2,structural; structure
NGSL-F0254,subsequent,2,subsequent; subsequently
NGSL-F0255,sudden,2,sudden; suddenly
NGSL-F0256,suggest,2,suggest; suggestion
NGSL-F0257,support,2,support; supporter
NGSL-F0258,sure,2,sure; surely
NGSL-F0259,surprise,2,surprise; surprisingly
NGSL-F0260,survive,2,survival; survive
NGSL-F0261,total,2,total; totally
NGSL-F0262,tradition,2,tradition; traditional
NGSL-F0263,transport,2,transport; transportation
NGSL-F0264,typical,2,typical; typically
NGSL-F0265,unit,2,unit; unite
NGSL-F0266,unlike,2,unlike; unlikely
NGSL-F0267,usual,2,usual; usually
NGSL-F0268,weak,2,weak; weakness
NGSL-F0269,week,2,week; weekly
NGSL-F0270,wide,2,wide; widely
NGSL-F0271,wonder,2,wonder; wonderful
